,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
0,Uni-Mol-none,0.5750379406619631,0.5161986111714131,0.16198646215101084,0.21950124204158783,0.34232933074235916,0.09161865017172055,0.018488852991798106,0.010607973885164596,0.0598307776341382,0.03896033039677688,0.05685262261137595,0.02089563922010777
1,Uni-Mol-MCDropout,0.5797144892781426,0.5164690164606097,0.17041678354144096,0.21996243546406427,0.3499311978618304,0.09435348270072423,0.02588358371778091,0.009462284816925768,0.05945097384434536,0.03725854976173797,0.05766343966210446,0.02161734602136134
2,Uni-Mol-TemperatureScaling,0.575171167413895,0.5154459966275858,0.07125650532543659,0.1577887460589409,0.2693797176082929,0.06781713446511556,0.01816965144478452,0.009586791635456646,0.04987980270962443,0.0466961696825338,0.03193481913618353,0.008645250084072556
3,Uni-Mol-SWAG,0.5886878902674962,0.5183920522826403,0.1124545248846213,0.17718482265869775,0.2948090111215909,0.07411426989331828,0.02283583914103335,0.0065964915153428234,0.0323900373770635,0.028043132553202205,0.025016268071360523,0.007521920055469073
4,Uni-Mol-BBP,0.5899072046710457,0.5376589231914229,0.27542124191919964,0.4340810030698776,0.4608144958813985,0.13912951279215913,0.011240402693434393,0.0250261019055759,0.050994625283405495,0.08069534725513362,0.06825810295531269,0.03125561241894314
5,Uni-Mol-SGLD,0.5257092876423498,0.5321357868033837,0.42847023407618207,0.5073261111974716,0.7081014513969421,0.2555776906057882,0.05762169151007116,0.02188303524774661,0.044197324966267465,0.057371500378982115,0.09835330703737213,0.04632720338091372
6,Uni-Mol-DeepEnsembles,0.5551237271052722,0.5195641042476606,0.1449437364935875,0.16216570138931274,0.3199223279953003,0.08110781243264012,,,,,,
7,Uni-Mol-FocalLoss,0.569570720235406,0.5163234161111717,0.26047760993242264,0.40890708069006604,0.4397250860929489,0.12898056858239285,0.01994060878770364,0.011288416001797733,0.03276064262668874,0.11558433850797845,0.035892969950131214,0.01579079985305187
