,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
0,TorchMD-NET-none,0.6361051200495322,0.3511857172056647,0.17339359226549955,0.5824798159377641,0.487036695852698,0.14855108918674972,0.00014240768621302317,0.004766305578531536,0.005303166673338839,0.021544027293090455,0.016402179138327685,0.002708969223456004
1,TorchMD-NET-MCDropout,0.6338673392961561,0.3489612964898157,0.17065150463059778,0.5704777934156707,0.47778219459206306,0.14767297111084077,0.004150355415584876,0.0026202914370962067,0.004816621867823033,0.022115915283322008,0.014143493938700694,0.002656690195219054
2,TorchMD-NET-TemperatureScaling,0.6384108400445007,0.35258008904477284,,,0.60532689735751,0.14658788741288697,0.0019708801696647397,0.005370760834859943,,,0.09835747793442484,0.0009141194132580754
3,TorchMD-NET-SWAG,0.6457014002360929,0.36116901501255266,0.16477088348400767,0.547302279745067,0.4617148477908448,0.14457007240746064,0.006403780186476888,0.005771133298362095,0.0011944127418668786,0.008012490326536994,0.0024958006741007083,0.0004233737289144599
4,TorchMD-NET-BBP,0.6102992259650226,0.3184182842641102,0.14708396500582127,0.4878052236655584,0.45387988869760565,0.14337243946214023,0.018187239165155245,0.01976924597115942,0.004914719181356872,0.016426055693802344,0.01705657577138786,0.002642774651590893
5,TorchMD-NET-SGLD,0.5223510734765482,0.27591628143383695,0.297550566596094,0.358375874289673,0.6677550889138459,0.23737275070570538,0.004754206523680471,0.0027182134588062123,0.001953409306625048,0.0017755970705387036,0.0020007717961275095,0.0009895094222825973
6,TorchMD-NET-DeepEnsembles,0.6540150630563987,0.35490051229387065,0.15456478560488332,0.494657007212649,0.44241071096579804,0.13958477452764756,,,,,,
7,TorchMD-NET-FocalLoss,0.644312591359766,0.3510246224314316,0.1542783448087761,0.4340113092460445,0.4336910284855712,0.1395275535184789,0.007268091847177971,0.002657883881430262,0.003214555826664564,0.00973398587624802,0.001096832064481884,0.0006239429855495332
