,method,rmse-mean,mae-mean,nll-mean,ce-mean,rmse-std,mae-std,nll-std,ce-std
0,GIN-none,0.9286436638569991,0.7455270169459537,0.45418873232201556,0.004782660223787704,0.11130752393326862,0.10555882711839538,0.10956266181510227,0.005546993660146084
1,GIN-MCDropout,0.9286437207696254,0.745527068552029,0.4541887444744339,0.004782656617134927,0.11130752222599033,0.10555881586019726,0.10956267657404707,0.005546996579097544
2,GIN-SWAG,1.1105147803868185,0.9009714888464545,0.6805313347596291,0.014652975817801894,0.24484222700816366,0.2179454287067158,0.2447141535735377,0.009044761939989139
3,GIN-BBP,1.0862522790473663,0.86063366813459,0.6095276351361023,0.0017585261581724906,0.07042240016956572,0.04915690174246894,0.08408285839911617,0.0010059516305161319
4,GIN-SGLD,1.3804074570980684,1.1187089354658672,0.9883972156666397,0.02290540668260382,0.4327478462860098,0.37633728314524684,0.4025427250831987,0.013721962344866124
5,GIN-DeepEnsembles,0.8070664794909433,0.6514816083957433,0.3240991462821936,0.0019895478018553585,,,,
