,method,rmse-mean,mae-mean,nll-mean,ce-mean,rmse-std,mae-std,nll-std,ce-std
0,GIN-none,1151.7310174665963,303.5003137253209,5.551399141073051,0.00336623251037432,1193.7095334756466,249.59355529365615,0.09299996935613668,0.0006785009691108257
1,GIN-MCDropout,1151.7318679137313,303.50068694559485,5.551399147267813,0.0033662367958381435,1193.7107854880874,249.59409444440072,0.0929999785260708,0.0006784953974121966
2,GIN-SWAG,45807.179436631704,10242.631728162982,7.537279667092624,0.03164318987829393,50623.599111052106,10918.784084007162,1.4080307361710376,0.0330625923609037
3,GIN-BBP,436.0923843496292,153.6524711908694,5.472246435863454,0.0031300445358761384,435.7488428455593,99.40706513500994,0.0803390338813401,0.000987585902782661
4,GIN-SGLD,1488.1788588889128,1476.675609397944,1107338158015.045,0.325,2.2737367544323206e-13,0.0,0.0,0.0
5,GIN-DeepEnsembles,376.75679322487167,148.23625111327976,5.611711594302085,0.003807937374909856,,,,
