,method,rmse-mean,mae-mean,nll-mean,ce-mean,rmse-std,mae-std,nll-std,ce-std
0,DNN-rdkit-none,0.9048169463436139,0.6746604156401137,1.0032921443218816,0.046515450498836375,0.028908779783294255,0.005922933019378912,0.37645983814326534,0.00522860261964796
1,DNN-rdkit-MCDropout,0.9128954946416897,0.6852724073164137,1.0246280589880328,0.04947445104239354,0.021208243459762428,0.00490638073544265,0.3697770479098082,0.005123252313132799
2,DNN-rdkit-SWAG,0.9164939452604827,0.6827053410094109,0.9461118932500931,0.0459191106823745,0.024355643728647264,0.0074152322076791385,0.3428492511637749,0.004804829839789594
3,DNN-rdkit-BBP,0.9556915140939672,0.7069549689609796,0.430605161959073,0.03248396582262367,0.02981319938249243,0.02369369352729059,0.0324608470871112,0.00376894493740216
4,DNN-rdkit-SGLD,0.9629981182453605,0.7175206900328984,0.5101279613811505,0.01623174705349097,0.04249651112070619,0.030235204417562334,0.03795247594298503,0.001661891414816751
5,DNN-rdkit-DeepEnsembles,0.8689848932829973,0.6455238445498707,0.5673782614838093,0.0452745526513806,,,,
