,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
0,GIN-none,0.7453542942119392,0.10261076725936304,0.02151487519343694,0.8146050771077474,0.13628160953521729,0.03073101185322957,0.005350770431218489,0.004386556487543254,0.004013656338369025,0.0651374471592534,0.003154395340539219,0.00043989897001865897
1,GIN-MCDropout,0.7453552598543811,0.10261278858559152,0.02151487333079179,0.8146049976348877,0.13628160953521729,0.030731011842689723,0.005351070859934923,0.004382482791301366,0.004013653708538758,0.0651376567653238,0.003154395340539219,0.0004398992269165937
2,GIN-TemperatureScaling,0.7453555817351951,0.10261091215500147,0.01592025626450777,0.8761283953984579,0.13681242366631827,0.03096907779044701,0.005349889804494654,0.004383250118766434,0.0007014660158191989,0.06628085062520178,0.0010919403537235255,0.00029478552342247224
3,GIN-SWAG,0.7266530189201544,0.0819339143431843,0.015226308877269426,0.48641767104466754,0.13570844133694968,0.030594486325696207,0.010934409067664796,0.006314354783711879,0.006260047791256668,0.05956489044425615,0.0013060827525347846,0.0002489758800961247
4,GIN-BBP,0.652767209357719,0.06945961794562004,0.037748560309410095,0.6285989880561829,0.15105042358239493,0.03218778660336419,0.03512755888189495,0.008582311699845078,0.0036995264163732027,0.11781103631963782,0.0011624328919140419,0.00020852686939923815
5,GIN-SGLD,0.3216323219838158,0.02241003158500059,0.08065119634071986,0.36550472180048627,0.18832833071549734,0.038901133716183596,0.019950049970916855,0.00045776224463920555,0.011708804052442151,0.026175846477608025,0.006915929766669729,0.0013942210791384369
6,GIN-DeepEnsembles,0.7499459240232527,0.1021094984230043,0.020419340580701828,0.8146050572395325,0.13528072834014893,0.030627553981261012,,,,,,
7,GIN-FocalLoss,0.745216851104373,0.09886900411684137,0.1433023065328598,0.5042464733123779,0.2522606203953425,0.05484021300929464,0.00400011398136258,0.009856569407796426,0.0,0.0,0.016595851674033418,0.004525287879553142
