,method,roc-auc-mean,prc-auc-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,nll-std,brier-std
0,GIN-none,0.6559595495851699,0.20494960334998033,0.4162936620414257,0.08590597200396782,0.0008488752486430285,0.0022450704921576398,0.0824272420542748,0.0018846593849375613
1,GIN-MCDropout,0.6557661420136586,0.20534880583405088,0.39924367806977695,0.08686406367046794,0.00584667970166182,0.0007372090456589631,0.08517532327426391,0.0017791003649580096
2,GIN-TemperatureScaling,0.6559609029575454,0.2049680701017105,0.3777143876585695,0.08835846595873366,0.0008459671724525598,0.002277592411241474,0.054653300610004896,0.0032954420296348996
3,GIN-SWAG,0.6631571236877888,0.21191556082332977,0.2985910549759865,0.08309690269823018,0.0014814431059487238,0.0036590339045288714,0.0031082620428584985,0.0007166459607447867
4,GIN-BBP,0.5756261832306588,0.15075760213892164,0.3224727196825875,0.08888550101611782,0.0024009309467883954,0.004213912967770161,0.004001117792986786,0.0015775206734995207
5,GIN-SGLD,0.483899688371671,0.0966631265966294,0.3616167555252711,0.10251320504219454,0.0037881122584433225,0.0022196056921297692,0.016575257672712763,0.005462459920036387
6,GIN-DeepEnsembles,0.6654051510580026,0.20839769034826627,0.29736168930927914,0.08332401600258217,,,,
7,GIN-FocalLoss,0.6595815636073197,0.20237333546905314,0.400970806264215,0.09695092963446221,0.005456158631066616,0.003535335508955829,0.022660093508356106,0.00045781868463952425
