,method,rmse-mean,mae-mean,nll-mean,ce-mean,rmse-std,mae-std,nll-std,ce-std
0,DNN-rdkit-none,2.2402859711052137,1.676775243939045,1.3369511058776908,0.027222815678599886,0.13657666477428396,0.10068680229210777,0.11201013482350354,0.0026120405197997175
1,DNN-rdkit-MCDropout,2.231565671199292,1.6468705933649748,1.3356705065732355,0.024681643659584876,0.10699405503159515,0.11222203727389299,0.12574367460232155,0.0014559902790822052
2,DNN-rdkit-SWAG,2.4516027797465307,1.7852811517812563,1.846148994906007,0.035835007128479084,0.11879456355217173,0.1477917047366934,0.2919903065233556,0.004344438890313835
3,DNN-rdkit-BBP,2.8456402712164213,2.1049499897310615,1.5285467775549952,0.01730153939521258,0.1416456111819398,0.10371083149003744,0.046938001795282236,0.005565923016334838
4,DNN-rdkit-SGLD,2.550267918417406,1.854889658197762,1.4260204834139276,0.013740059104029109,0.10099341090215085,0.10916894532220164,0.009525656962864776,0.0032727872362059533
5,DNN-rdkit-DeepEnsembles,1.962660243104801,1.435888299537532,1.0149387518082253,0.02400296871515999,,,,
