,DNN-rdkit-none,DNN-rdkit-MCDropout,DNN-rdkit-SWAG,DNN-rdkit-BBP,DNN-rdkit-SGLD,DNN-rdkit-DeepEnsembles,ChemBERTa-none,ChemBERTa-MCDropout,ChemBERTa-SWAG,ChemBERTa-BBP,ChemBERTa-SGLD,ChemBERTa-DeepEnsembles,GROVER-none,GROVER-MCDropout,GROVER-SWAG,GROVER-BBP,GROVER-SGLD,GROVER-DeepEnsembles,Uni-Mol-none,Uni-Mol-MCDropout,Uni-Mol-SWAG,Uni-Mol-BBP,Uni-Mol-SGLD,Uni-Mol-DeepEnsembles
rmse,3.5,2.3333333333333335,4.333333333333333,5.166666666666667,4.666666666666667,1.0,4.0,1.8333333333333333,4.666666666666667,3.8333333333333335,4.833333333333333,1.8333333333333333,3.1666666666666665,2.0,4.333333333333333,5.0,5.333333333333333,1.1666666666666667,5.0,3.1666666666666665,5.5,3.1666666666666665,2.5,1.6666666666666667
mae,3.0,2.5,4.0,5.333333333333333,5.166666666666667,1.0,3.3333333333333335,1.6666666666666667,4.333333333333333,4.666666666666667,5.5,1.5,2.8333333333333335,2.6666666666666665,4.166666666666667,5.166666666666667,5.166666666666667,1.0,4.333333333333333,2.8333333333333335,5.333333333333333,2.8333333333333335,4.0,1.6666666666666667
nll,3.8333333333333335,3.6666666666666665,5.333333333333333,3.6666666666666665,2.6666666666666665,1.8333333333333333,5.0,3.0,6.0,2.1666666666666665,1.8333333333333333,3.0,4.666666666666667,3.6666666666666665,6.0,2.0,1.8333333333333333,2.8333333333333335,4.833333333333333,4.5,5.333333333333333,1.6666666666666667,1.8333333333333333,2.8333333333333335
ce,4.333333333333333,4.0,5.333333333333333,3.0,1.0,3.3333333333333335,4.833333333333333,3.5,5.5,2.1666666666666665,1.8333333333333333,3.1666666666666665,5.0,3.6666666666666665,6.0,1.3333333333333333,1.6666666666666667,3.3333333333333335,4.333333333333333,4.333333333333333,5.5,1.3333333333333333,1.6666666666666667,3.8333333333333335
