,rmse,mae,nll,ce
Uni-Mol_none,5,3,24,24
Uni-Mol_MCDropout,4,2,23,22
Uni-Mol_SWAG,6,4,21,21
Uni-Mol_BBP,3,5,11,17
Uni-Mol_SGLD,2,6,1,9
Uni-Mol_DeepEnsembles,1,1,22,23
ChemBERTa_none,17,15,14,13
ChemBERTa_MCDropout,14,14,10,10
ChemBERTa_SWAG,18,16,15,14
ChemBERTa_BBP,16,17,13,11
ChemBERTa_SGLD,22,21,3,3
ChemBERTa_DeepEnsembles,13,12,12,12
DNN-rdkit_none,20,20,6,6
DNN-rdkit_MCDropout,19,19,5,4
DNN-rdkit_SWAG,21,22,9,8
DNN-rdkit_BBP,23,23,7,7
DNN-rdkit_SGLD,24,24,8,1
DNN-rdkit_DeepEnsembles,15,18,4,5
GROVER_none,9,9,19,19
GROVER_MCDropout,7,8,17,16
GROVER_SWAG,10,10,20,20
GROVER_BBP,11,11,16,15
GROVER_SGLD,12,13,2,2
GROVER_DeepEnsembles,8,7,18,18
