,method,rmse-mean,mae-mean,nll-mean,ce-mean,rmse-std,mae-std,nll-std,ce-std
0,GROVER-none,98.75326455728452,42.77865544684042,4.74237638712381,0.05122097361266009,9.877959039579503,4.87528016081888,0.35230462256325384,0.00028454349661659583
1,GROVER-MCDropout,96.66994592549715,42.64112425647935,4.732358532010649,0.05105923651183966,9.604724737973513,4.644882322768365,0.31295879552731193,0.0003255332632392318
2,GROVER-SWAG,97.1293314044545,43.31965808377043,4.630448185624427,0.04947859518384378,10.064073306860932,5.1696188412277575,0.26779723764372226,0.0007608130869723597
3,GROVER-BBP,99.01956512784909,56.824594625273825,4.984144928763976,0.022322164410754065,8.101070125440762,3.946627092062628,0.06302801445433573,0.00034855724243594414
4,GROVER-SGLD,101.03026775025869,57.675198446825796,4.971766021385319,0.023725384043889675,6.697103946200321,3.775486649860443,0.05563579094652781,0.0009114128591627258
5,GROVER-DeepEnsembles,98.06313978182955,42.83049555429662,4.687420878743695,0.0498050946561897,9.778805210095232,4.62144085462804,0.30690237517445507,0.0005513560475075677
