,method,rmse-mean,mae-mean,nll-mean,ce-mean,rmse-std,mae-std,nll-std,ce-std
0,GROVER-none,1.853258871499565,1.4170628805498202,1.1335116471588755,0.009664885590587877,0.15898696382897465,0.12807861881925425,0.08328891706970608,0.00242717967625713
1,GROVER-MCDropout,1.8629197479334847,1.4131346155241629,1.144431915295353,0.010988174696084213,0.15615253757900505,0.12341791884404943,0.08357770231134987,0.0030930632423727465
2,GROVER-SWAG,1.805944301981354,1.3650806761073573,1.0929827827482421,0.011999888354579201,0.15213977585710614,0.1102043172465301,0.08574456334425032,0.002928411287004091
3,GROVER-BBP,1.9032018657915104,1.4502383660809561,1.324314202055792,0.008799297819716896,0.13179309972378317,0.11860916386269686,0.022500836961617195,0.0013782579743412296
4,GROVER-SGLD,2.4699149120926713,1.8858495124233603,1.369706323030485,0.028511910991912612,0.13707136187859317,0.11611950806363482,0.051007282981798435,0.005038197072259294
5,GROVER-DeepEnsembles,1.8184809536975008,1.3160924315811728,1.1063267835404997,0.009771794587566744,,,,
