,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
0,GROVER-none,0.9397760052827303,0.8264474193792345,0.06354536737004916,0.48723479608694714,0.1471360462407271,0.03673834866917045,0.015191277609239303,0.013151679481680585,0.011365739481626039,0.058861251615445705,0.010562933845818575,0.003068955093062591
1,GROVER-MCDropout,0.9347333727221123,0.8414540559218939,0.07064346534510453,0.6146527727444967,0.147468330959479,0.03663797530462504,0.015208093715604129,0.019331262116192613,0.012173418598882237,0.101589069948954,0.012080784634258709,0.0036471840467946796
2,GROVER-TemperatureScaling,0.9409252308298289,0.8315181321981671,0.04487373773008585,0.5580919633309046,0.12596431250373522,0.03326929874030996,0.01295358794858359,0.01817900704169266,0.0054821412995150025,0.04809054248890006,0.004463042542827788,0.0033617818713041667
3,GROVER-SWAG,0.9623396934626213,0.8654671581485281,0.04602470497290293,0.5397736529509226,0.11188053091367085,0.028001213960720844,0.006033980811667829,0.02155128838947462,0.011695380089500265,0.13906712710570665,0.004559354629856912,0.00217707712459667
4,GROVER-BBP,0.5373318736315297,0.5167780480772876,0.311102531850338,0.3802618682384491,0.512524609764417,0.16337705416834367,0.03870842510990596,0.007821099146002956,0.07995635912648384,0.047135278462107716,0.11065749219266968,0.052199804571973
5,GROVER-SGLD,0.950710446135845,0.8708183940873818,0.05954439130922159,0.6577030221621195,0.12869982173045477,0.030554408330796506,0.005819961899914238,0.0059674354940334505,0.006478574463106626,0.025374225144767597,0.006277740593023378,0.001149256391450967
6,GROVER-DeepEnsembles,0.9429360859138776,0.8478166273164918,0.07433450222015381,0.5117753446102142,0.14534685760736465,0.03443614503716056,,,,,,
7,GROVER-FocalLoss,0.9376855037708963,0.8556596231123352,0.2158371905485789,0.5400980512301127,0.296328400572141,0.07313980055320295,0.004161403958113916,0.031219006388589057,0.0033929375671381584,0.05487024479048607,0.0018109706595539033,0.0011303329315609939
