,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std
0,DNN-rdkit-none,0.6222180164173321,0.29902325753840236,0.11682590204456444,0.4455211449120591,0.443558771126583,0.00417582269491685,0.004789301344144872,0.009557827104578758,0.049972690604162685,0.014595741272664532
1,DNN-rdkit-MCDropout,0.6247841206975115,0.30224411165670095,0.10925308776789731,0.4303163563187585,0.43191474509511973,0.0029894190931615255,0.004042392471934512,0.007506155774124203,0.021858380083003705,0.009584278430831228
2,DNN-rdkit-TemperatureScaling,0.6219609128651465,0.2991047866841758,0.11135680501945977,0.43665189660081766,0.48818982686857626,0.004589040325080268,0.004881343889441201,0.0050474140083096196,0.03327642376610115,0.016955267277512023
3,DNN-rdkit-SWAG,0.6206609674436004,0.29858941335456535,0.11749638247451888,0.44502169813635084,0.4440496467440669,0.007322014516361802,0.004976127443360479,0.009773684568605731,0.05043675205469064,0.01504634712066401
4,DNN-rdkit-SGLD,0.531934775374638,0.25680742062405504,0.30535885917526656,0.3579345738382939,0.6684959379375958,0.004048939972905275,0.0029814427315079427,0.003428009733103509,0.004052927867691531,0.0035218464889934836
5,DNN-rdkit-DeepEnsembles,0.6486424621207872,0.32035223607803043,0.08998076347576943,0.35759294842995826,0.4008433766968426,,,,,
6,DNN-rdkit-FocalLoss,0.6288997317494396,0.3060157907054049,0.1264462245326703,0.3402088671739472,0.4389366168080946,0.007730062858242719,0.007958110262174774,0.0034191966244823974,0.02688846570161432,0.00837914836869786
