,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
0,ChemBERTa-none,0.9855518483763713,0.9708870020872592,0.021526205042997997,0.47174058854579926,0.120573657254378,0.02245444645486964,0.0027888278761487107,0.0016395932234250735,0.0035146151960807484,0.13369887567522518,0.031758758000834955,0.0016394234133421718
1,ChemBERTa-MCDropout,0.9847898492799964,0.9699140265959633,0.02121211277941863,0.5069835285345713,0.10828160122036934,0.02128039517653878,0.0020719680044745986,0.0014807182352614436,0.0019105012742437403,0.21647045585392846,0.02467638749329289,0.002104975985283254
2,ChemBERTa-TemperatureScaling,0.9855518483763713,0.9708870020872592,0.019882662997891504,0.5634428511063257,0.09636792664726575,0.022217546019032173,0.0027888278761487107,0.0016395932234250735,0.0025756565996028066,0.23850927064964647,0.014650799809957274,0.0013061780676197733
3,ChemBERTa-SWAG,0.9850189413686442,0.9708476853124949,0.0222362761075298,0.3658304462830226,0.13266404469807944,0.023214518210258977,0.0030515496311795047,0.0016761375097569184,0.002503762006037841,0.13040922666855054,0.0317399254078842,0.001020749334539771
4,ChemBERTa-BBP,0.9815799534285615,0.9686426870365977,0.032518645748496056,0.5996541778246561,0.09723768259088199,0.02259645024830879,0.007938183290880998,0.01011260982386719,0.021237594361975008,0.1410764829994048,0.015609789449178856,0.002413795215721709
5,ChemBERTa-SGLD,0.9869214773109048,0.9699579435821128,0.018284982691208523,0.5035128320256869,0.0892874039709568,0.021426379872745368,0.0011597157126254708,0.0004968449593787646,0.0005931372309473364,0.041265791329379325,0.004969999892804856,0.0004670387073664051
6,ChemBERTa-DeepEnsembles,0.9811628957703403,0.9653265874931507,0.015666807536035776,0.9206430912017822,0.08104286342859268,0.02076504016257649,,,,,,
7,ChemBERTa-FocalLoss,0.9832447085809614,0.963281449099231,0.08967765048146248,0.5570041537284851,0.13665027047197023,0.02734247651992207,0.002661585417856096,0.007711808167379273,0.03778978429994038,0.06312663126643814,0.03496352837074841,0.004451863822905889
