,method,rmse-mean,mae-mean,nll-mean,rmse-std,mae-std,nll-std
0,ChemBERTa-none,2.5267051555764453,1.7760475215262772,1.7858981540552168,0.08641920862314449,0.03175338645245647,0.19156741203762007
1,ChemBERTa-MCDropout,2.504216034822425,1.7804009060240935,1.7810385334600756,0.09813999261691457,0.045609422454385394,0.15257693983716294
2,ChemBERTa-SWAG,2.626893305177912,1.8562497082327993,2.2239259915099168,0.1626607975628029,0.10554014211072676,0.2879355913827421
3,ChemBERTa-BBP,2.6339681823032053,1.907180368234446,1.6143041757171606,0.13680869760805933,0.1599670807658384,0.19298913538581886
4,ChemBERTa-SGLD,2.656390635791858,1.863316418082136,1.7626806876343621,0.03570138693826125,0.0343548499455061,0.08092217790499807
5,ChemBERTa-DeepEnsembles,2.3727068666250375,1.6904061245668567,1.514243019331996,,,
