,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
0,GROVER-none,0.707497427983539,0.7213541161495908,0.2901756167411804,0.5999646385510763,0.9457472562789917,0.2997633714002534,0.006068133095372443,0.004323481041560653,0.011141686068827738,0.08577983006767326,0.02340099241836073,0.0060044301072433035
1,GROVER-MCDropout,0.706565072016461,0.7265359250048822,0.29010982314745587,0.5809983412424723,0.9267260034879049,0.29963776237918355,0.007051383777651931,0.004219800343202124,0.014746806941773646,0.026140899287118494,0.028451808859290915,0.007139955312957718
2,GROVER-TemperatureScaling,0.707497427983539,0.7213541161495908,0.2901756167411804,0.5999646385510763,0.9457472562789917,0.2997633714002534,0.006068133095372443,0.004323481041560653,0.011141686068827738,0.08577983006767326,0.02340099241836073,0.0060044301072433035
3,GROVER-SWAG,0.7159850823045267,0.7247022810384071,0.331386923789978,0.7616728742917379,1.1104856729507446,0.32508834840559614,0.0032137343105966324,0.001586266313237595,0.0031816206155430523,0.05245499434185553,0.014246081856834746,0.002454610071603773
4,GROVER-BBP,0.6944122942386833,0.7272505337811372,0.19922128319740295,0.3921002944310506,0.731793999671936,0.2647033810110803,0.0033451667250436615,0.008088918782635941,0.013934653450057965,0.056802279254999824,0.011365645347656281,0.0038562411474085136
5,GROVER-SGLD,0.7265625,0.7510788063761656,0.31268590688705444,0.5996546745300293,1.01869930823644,0.3148919988301357,0.003660890722433323,0.0100948501858951,0.006509807404780328,0.043482221214551316,0.02019848324320212,0.001916647951421325
6,GROVER-DeepEnsembles,0.7083333333333334,0.7404482575305437,0.2889735996723175,0.5809817910194397,0.9338299036026001,0.3028938505710438,,,,,,
7,GROVER-FocalLoss,0.71460262345679,0.7411456880627724,0.13402299582958221,0.5345012644926707,0.6505497694015503,0.22842501286683395,0.005933607692805584,0.010427735769918258,0.017744617633970325,0.23926097323700699,0.007001254793093278,0.003988987928485556
