,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
0,Uni-Mol-none,0.6734470744359006,0.33649829393860387,0.10198026824096228,0.45057586981403475,0.3982814295741582,0.12743373705977631,0.010131756008973826,0.012747386370075803,0.0023000441889996196,0.03797207074798566,0.007455626991446201,0.002508714262532354
1,Uni-Mol-MCDropout,0.6832812008500889,0.34861162368520243,0.10735927964675195,0.493652378545331,0.4015434985898964,0.12735298191463673,0.011665217985920621,0.018420608230892917,0.008984548718738342,0.030034524015904795,0.01123751674113161,0.002529579957188498
2,Uni-Mol-TemperatureScaling,0.702827137646759,0.3871547497413832,0.14560075489656704,0.48158740432710556,0.45663301950652696,0.13550900969680316,0.010113043903417232,0.02385545051730734,0.004504498333606888,0.06716470020154264,0.010448337075837255,0.002861822099060246
3,Uni-Mol-SWAG,0.686958034006698,0.35763259377372386,0.10849283400277639,0.49486303915068647,0.40048075323781923,0.12707110383221504,0.007533201720304605,0.010736707910982812,0.003374605689265152,0.005622588944617678,0.005525167021312357,0.001879718024240446
4,Uni-Mol-BBP,0.6272721822300427,0.31705064228913793,0.12956998221515145,0.3353371633125133,0.4522076798063484,0.14560806588634279,0.006611742615668964,0.01177910430090642,0.006540845739205399,0.03169036723254244,0.006814816842539895,0.0021140320573063776
5,Uni-Mol-SGLD,0.5700125601471568,0.2845975986042754,0.19527116102558342,0.3581676235330886,0.5207020173714462,0.17166910394509305,0.0005203593161218754,0.003378138583913122,0.003299176346318668,0.005723515510021519,0.0028920433641570513,0.0012111602601109067
6,Uni-Mol-DeepEnsembles,0.6841102532404215,0.3461644626748262,0.09530454483598882,0.433009483689656,0.3876811190508306,0.12471100598545787,,,,,,
7,Uni-Mol-FocalLoss,0.6933660379337406,0.36991643862378604,0.12266486056678283,0.38502203750072933,0.40790034212538456,0.12842905015112438,0.00346368155570908,0.0013706738578858743,0.0011131066823320188,0.0072447200777046705,0.0015674146335300516,0.0003318673147585538
