,method,rmse-mean,mae-mean,nll-mean,ce-mean,rmse-std,mae-std,nll-std,ce-std
0,ChemBERTa-none,114.19538963713889,66.65036864730683,6.961915984779798,0.02510914126865747,1.9472862542337566,3.6636609291479134,1.3999545679282657,0.005875172367048944
1,ChemBERTa-MCDropout,112.49305365626515,64.78281195991605,6.194155933490475,0.03085901750713063,1.2013165988841137,3.434868317300765,0.7998125921874162,0.006116004424796819
2,ChemBERTa-SWAG,114.20231965983216,68.09924112371026,6.968401030030582,0.02364004815030227,1.5302310469949962,3.512155339497577,1.3235893462965342,0.005206214587763892
3,ChemBERTa-BBP,116.23334883202074,69.97831070066871,5.595400554864646,0.026191873162475423,1.8548395498835464,0.37319227509482944,0.2658533581263946,0.0034395890703314393
4,ChemBERTa-SGLD,116.96666834709777,74.67144249363099,5.090573723370348,0.014722293215403004,0.36644494489384505,1.3651822639261062,0.028064493325789037,0.0018778417844366488
5,ChemBERTa-DeepEnsembles,111.27637394122016,63.87521799435556,5.389626821717966,0.02236008984051434,,,,
