,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std
0,Uni-Mol-none,0.7718463754269385,0.0888561496223285,0.0024369150477771954,0.2631128373400619,0.022520688729774623,0.019988104719736135,0.017878630431781072,0.00020807857350759343,0.1384028251098082,0.0027328672317164567
1,Uni-Mol-MCDropout,0.7781288317275409,0.09938010746730623,0.002561570349563327,0.2704322434056343,0.02525179185387161,0.02013407484289326,0.0031842871614728386,9.81143018311037e-05,0.13255338782560244,0.0016816295048587395
2,Uni-Mol-TemperatureScaling,0.7718463754269385,0.0888561496223285,0.0024369150477771954,0.2631128373400619,0.022520688729774623,0.019988104719736135,0.017878630431781072,0.00020807857350759343,0.1384028251098082,0.0027328672317164567
3,Uni-Mol-SWAG,0.7429198466769579,0.0697545398633159,0.0028433118196618226,0.48308201199138745,0.027585371511263983,0.04417949189002475,0.002427369267855439,7.624595173374639e-05,0.05342455174717256,0.0015918913696709896
4,Uni-Mol-BBP,0.7394248805600799,0.06728834347553389,0.0015664793356942634,0.1465114952918763,0.016936981057127317,0.013998439609045897,0.012215864070928383,0.00017040801120061903,0.033776719525116426,0.00015567745415069018
5,Uni-Mol-SGLD,0.5901032076733829,0.012337892779503748,0.0013790250134964783,0.0013790250134964783,0.017781061782605117,0.020015722484468968,0.005614664641847671,4.014731731959073e-05,4.014731731959073e-05,1.398735570156451e-05
6,Uni-Mol-DeepEnsembles,0.7904091666533488,0.09784106473503312,0.002341990553153058,0.25257802464378376,0.019546557776629926,,,,,
7,Uni-Mol-FocalLoss,0.823911332301479,0.1282557571635843,0.0249542995614724,0.3657649232281579,0.035362399907575705,0.01402108710640646,0.04221019580921667,0.01255430221302316,0.09835460505985391,0.011622082488723103
