,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
0,GROVER-none,0.7157061128207148,0.07121693946346971,0.001570962470335265,0.050432526648768954,0.016908021084964277,0.0024958937587718816,0.03295603380953356,0.026013707212980505,0.0004021275361504164,0.03493037809456072,0.0003738972287070909,1.2611310833107693e-05
1,GROVER-MCDropout,0.7162871035160562,0.07542666290027607,0.0015777350028252438,0.02911820038635698,0.016959661038385497,0.00249767599571926,0.03630261773359272,0.020816205832812854,0.00040354515048712265,0.03561681848439673,0.0003869515499451941,1.2560258444193524e-05
2,GROVER-TemperatureScaling,0.7157061128207148,0.07121693946346971,0.001570962470335265,0.050432526648768954,0.016908021084964277,0.0024958937587718816,0.03295603380953356,0.026013707212980505,0.0004021275361504164,0.03493037809456072,0.0003738972287070909,1.2611310833107693e-05
3,GROVER-SWAG,0.7280964444696835,0.11237071143307054,0.0013889422989450395,0.1328452921187919,0.016209814086970354,0.002461040639093468,0.02261324923926408,0.0197851369847431,0.0003182132608403452,0.04656985067098711,0.00018413660258775611,2.050263491631906e-05
4,GROVER-BBP,0.732277584512714,0.03519043404691253,0.003679212940753334,0.1729429076736172,0.018248267161349457,0.002531148856229471,0.013673716103548032,0.004754391340133521,0.0002241238259924301,0.028593661449603416,0.00012848445385250712,5.173948256924164e-06
5,GROVER-SGLD,0.5531707308705385,0.0062980022457001066,0.03745132258368863,0.039083114556140365,0.0487995193236404,0.00393294506965022,0.025538800148838,0.0016864165550921322,0.0008522636603821498,0.0014561839815557106,0.0008402468394190842,6.074940912779039e-05
6,GROVER-DeepEnsembles,0.7267762582035446,0.07937700487186224,0.0014425586831445494,0.06107096713191519,0.01664640431602796,0.0024929069530967582,,,,,,
7,GROVER-FocalLoss,0.6824926429288561,0.03677643601294831,0.08691237287388909,0.08691237287388909,0.09948599586884181,0.010084840025620921,0.012666780503942534,0.008571472739175214,0.0033492918365694018,0.0033492918365694018,0.003560907066515771,0.0005788926330989162
