,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
0,DNN-rdkit-none,0.8185243146119515,0.8252835856722597,0.2826796770095825,0.6299144824345907,0.8946337103843689,0.2810302354703699,0.016447225783309295,0.01035021950574293,0.015504996522575391,0.06308910424532696,0.07972685299049978,0.012500103580499128
1,DNN-rdkit-MCDropout,0.816843447516374,0.8225723398299345,0.2647908528645833,0.543205738067627,0.7666648427645365,0.25891117509552425,0.012138907245870963,0.009334095567056618,0.032254718690463466,0.0811416859770691,0.04455269155850451,0.015695372626256875
2,DNN-rdkit-TemperatureScaling,0.8185243146119515,0.8252835856722597,0.2536976834138234,0.5217400391896566,0.7412168184916178,0.2553449824170729,0.016447225783309295,0.01035021950574293,0.014407036897087054,0.003725854845291354,0.047185764233270026,0.011134161792997848
3,DNN-rdkit-SWAG,0.817307134991016,0.821974985351407,0.2727673451105754,0.6359415054321289,0.8729835152626038,0.2730319231469159,0.01193967110495974,0.007027940692462278,0.006797664037733183,0.038341152378519566,0.0642692278591979,0.00850101071520828
4,DNN-rdkit-BBP,0.828841360922738,0.830566412014857,0.2710518290599187,0.5901196002960205,0.7942657669385275,0.2535342155129849,0.003937932591772589,0.012515640745095348,0.019331578764960403,0.046427628009148805,0.02348021891886171,0.007478574621506044
5,DNN-rdkit-SGLD,0.8181185880716396,0.8174053662113332,0.27130764722824097,0.6664939324061075,0.9023029208183289,0.2734487178237022,0.016022398463498278,0.009760409741774577,0.0023583596138434058,0.07987543217241454,0.04156484591719911,0.007331613589206032
6,DNN-rdkit-DeepEnsembles,0.8207268301165014,0.8303538707226106,0.25503844022750854,0.598107635974884,0.7985151410102844,0.25573452693941523,,,,,,
7,DNN-rdkit-FocalLoss,0.8189880020865936,0.8299298031300296,0.25427218278249103,0.46666889389355976,0.6907577912012736,0.2487727882467721,0.011207013072037584,0.006919665565591364,0.0010746639716356548,0.03320904352082709,0.009892426025925136,0.002716389630078034
