,method,rmse-mean,mae-mean,nll-mean,rmse-std,mae-std,nll-std
0,Uni-Mol-none,103.90431738067885,56.6287191507839,4.619848636710562,1.3753851699198891,2.3360146698259454,0.2316554581439658
1,Uni-Mol-MCDropout,103.58527165633107,54.89758592050496,4.5158211912002235,1.3200939914664072,1.306067628754662,0.20355790609626476
2,Uni-Mol-SWAG,107.81276475231932,63.35424840379428,5.558805002463921,0.19689216265775147,2.2114363267816706,0.6514502390729004
3,Uni-Mol-BBP,101.54786412347471,51.95497453830303,4.515331117268062,1.1382384449363423,0.7904501122553032,0.05345610105818476
4,Uni-Mol-SGLD,105.15728862308579,57.06012298486485,4.56423093857089,2.62640543564807,4.5219007421073,0.04533914686625907
5,Uni-Mol-DeepEnsembles,101.18051697325706,52.040875971489875,4.373167694800145,,,
