,method,rmse-mean,mae-mean,nll-mean,ce-mean,rmse-std,mae-std,nll-std,ce-std
0,GROVER-none,0.03194773459931747,0.017381206837416358,0.020122733377916164,0.03858746051818987,0.0006644081842017135,0.00030189362638713136,1.4388039442331215,0.00202511174866582
1,GROVER-MCDropout,0.03176818276420593,0.017400922885266498,-0.8809542288653276,0.03813435831281137,0.0006430172226222617,0.00027392794262667483,1.105652591007465,0.00206230238714412
2,GROVER-SWAG,0.03230791443995421,0.017622650878952692,0.6654809872533526,0.04085336597059538,0.0004084237743727435,0.00025537062732485107,0.9582029422678657,0.0012636256320038692
3,GROVER-BBP,0.06864799864064441,0.04545039880596865,-2.32741844611534,0.015081806440025823,0.0227928827742618,0.013480328245600045,0.1300835356131607,0.0034054156210538322
4,GROVER-SGLD,0.03400740534407198,0.020466106476108872,-3.1826407997653514,0.015727685981994585,0.0007005016538190456,0.0007329814246275127,0.03777775637616022,0.000611197310792854
5,GROVER-DeepEnsembles,0.03148012599273555,0.017113150900287102,-1.1035878457337394,0.03834902665241665,,,,
