,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
0,ChemBERTa-none,0.9604867083863415,0.9880936584391081,0.06862068176269531,0.6102749307950338,0.24938514331976572,0.07306331712810937,0.003447033430461633,0.001718287987495518,0.006563902764446215,0.10058840324105017,0.00886129867131123,0.002974308015631264
1,ChemBERTa-MCDropout,0.9606520714998178,0.9880840578564877,0.06149046371380488,0.6206787824630737,0.24377760787804922,0.07167365523806539,0.002665281952415348,0.0014906200669220625,0.009443708028822032,0.03638502903688384,0.019295618979881527,0.0017717780858367935
2,ChemBERTa-TemperatureScaling,0.9604867083863415,0.9880936584391081,0.0590931698679924,0.6147025028864542,0.22753459215164185,0.06965832867091555,0.003447033430461633,0.001718287987495518,0.0013308182185144566,0.07480388334870965,0.011126753771955088,0.003966058175987658
3,ChemBERTa-SWAG,0.9587976550974454,0.9875689640714004,0.07370182871818542,0.632550577322642,0.28556354840596515,0.07801260568707506,0.0017588158329499613,0.0013492684977358372,0.004122668714266052,0.12998487150665997,0.009682083516480604,0.003901133096421802
4,ChemBERTa-BBP,0.9589695135790522,0.9877375487720489,0.0702193168302377,0.5923649867375692,0.2979321628808975,0.07658497547815603,0.001053497949533943,0.001199276649365247,0.012499482882293387,0.11441518734900825,0.0890650636461647,0.005216753186195091
5,ChemBERTa-SGLD,0.9579549669408159,0.9873335895295684,0.08537075171868007,0.7884824474652609,0.3513199985027313,0.08261543761947798,0.0032519304630848843,0.0016996948376412151,0.005665079251954851,0.10291811753467028,0.03242518830266026,0.005526618358690408
6,ChemBERTa-DeepEnsembles,0.960448915796138,0.9881546725942045,0.06911063690980275,0.5914975802103678,0.24795669317245483,0.07161493874228439,0.001784514612698565,0.0012580310237697468,0.012401398021577028,0.08088952594534307,0.004484901640675004,0.0028468641465901464
7,ChemBERTa-FocalLoss,0.9587215547671523,0.9873347073846884,0.08161271115144093,0.4001287619272868,0.2644534756739934,0.0795361904201008,0.0027344461829111595,0.0016424837486944711,0.0262221135706519,0.07593651782311332,0.043653575075138215,0.01333817180064422
