,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
0,ChemBERTa-none,0.9862203589293669,0.9252129863585884,0.019320722358922165,0.6770066817601522,0.07031058209637801,0.016793039136235248,0.006264668848405653,0.03790099949298631,0.0025725655975754767,0.1504035138330586,0.006301951699925202,0.0015307255602896913
1,ChemBERTa-MCDropout,0.9870363487413671,0.9398872580002253,0.01624450956781705,0.5200929914911588,0.0640489545961221,0.014838950539980614,0.005121450397248139,0.016477007711727307,0.002866881299580013,0.025078433272242226,0.008723087539474431,0.002503477963042081
2,ChemBERTa-TemperatureScaling,0.9862203589293669,0.9252129863585884,0.0180989991252621,0.5696374277273814,0.063905393704772,0.01633524840494242,0.006264668848405653,0.03790099949298631,0.004496892116453783,0.1294667599294532,0.0038986634229493545,0.001344389307286504
3,ChemBERTa-SWAG,0.9863411318762267,0.916920352075176,0.021552939899265766,0.7280840277671814,0.07505212165415287,0.01785307757311779,0.006047839671381033,0.04739930689402234,0.003640764054375807,0.1500042068210728,0.008419025110038466,0.0018674142179700946
4,ChemBERTa-BBP,0.985523757825157,0.9246262169029321,0.026847824609527986,0.5295442119240761,0.06873597515126069,0.01646330552804152,0.007740679530080054,0.042918761600221414,0.01242598626773541,0.20413119155791223,0.009537332532622145,0.0020577002607172885
5,ChemBERTa-SGLD,0.9851030256254006,0.9249896445325515,0.020054364576935768,0.6124715805053711,0.07127387449145317,0.017843189743357375,0.00531458045052804,0.03245583849040954,0.005781738559220174,0.17277587717052423,0.001982605710527714,0.003496213195295753
6,ChemBERTa-DeepEnsembles,0.9885085825881387,0.9415879616484991,0.024240656134982903,0.5373849347233772,0.06334019949038823,0.015419076912072246,0.003439668507733579,0.01421208753694072,0.010791989806423395,0.21701394126677206,0.005571588758394579,0.0014612861389782328
7,ChemBERTa-FocalLoss,0.982446839101557,0.9304406290334298,0.04926161219676336,0.5025211820999781,0.09070734803875287,0.019341585625314132,0.003766433244132004,0.02765423073132978,0.018283362333893348,0.08086708012418946,0.01319773588452836,0.002457526154281852
