,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
0,GROVER-none,0.9067256448893349,0.8991961122619191,0.10030062248309453,0.6491996645927429,0.4229568839073181,0.12538167641098016,0.014795786541094496,0.013612473272565538,0.013945198377472238,0.10647402473439337,0.037218386031400354,0.011384152402163717
1,GROVER-MCDropout,0.9077662875946212,0.9020162663526854,0.08015298346678416,0.4971809387207031,0.4073107838630676,0.12382912175847342,0.016817377443024164,0.013919049189328972,0.006898754128662819,0.20449009636943458,0.03942745886273176,0.011881523922408918
2,GROVER-TemperatureScaling,0.9066677346927045,0.8983632466829844,0.08839054157336552,0.545703242222468,0.4048590362071991,0.12372978853571426,0.014825571397073429,0.01433783545994873,0.013044814900010526,0.12444429225496571,0.0351149512061202,0.011291835257294823
3,GROVER-SWAG,0.9111738916958269,0.9092748709268342,0.08873513340950012,0.40821143984794617,0.39156030615170795,0.1202637365659225,0.01407306994012772,0.008616888546516559,0.026040186463215268,0.09802739388519227,0.035054487900868354,0.01119379574086343
4,GROVER-BBP,0.9089199556964426,0.8935206902443403,0.08068514118591945,0.3911931316057841,0.39456923802693683,0.12090839762658623,0.0065484319223785585,0.019869393423234707,0.011238986355347088,0.1274048880828394,0.017775151689246906,0.010283588993690291
5,GROVER-SGLD,0.9066086834545306,0.8876404057623191,0.08523362626632054,0.530188798904419,0.40285078684488934,0.12312897257923328,0.01445097887083679,0.022966109127305116,0.010132594086279638,0.11304988382145811,0.03134631528105437,0.009680036567883722
6,GROVER-DeepEnsembles,0.9046466618393096,0.896074098630431,0.09154940396547318,0.6517634292443594,0.4206717610359192,0.1248437948932025,0.013282887529586318,0.009661541613037894,0.005380277118542588,0.11367016624326755,0.02893903086503852,0.010363992331530158
7,GROVER-FocalLoss,0.9084057804536391,0.9048140685331418,0.16000517209370932,0.33310311039288837,0.4651325245698293,0.1491650809991446,0.01538282852092363,0.009661576600288683,0.006942490906791718,0.02533324832944205,0.032338406832040145,0.013659530549019737
