,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
0,DNN-rdkit-none,0.8658718151794585,0.6301818553422175,0.07544505223631859,0.8614221711953481,0.5589247867465019,0.06719358594221192,0.04834931239706938,0.055538975076720606,0.012903788186734988,0.039178239455008576,0.4190239953081886,0.010363280691702602
1,DNN-rdkit-MCDropout,0.8756611691726747,0.6446816733081243,0.06164169746140639,0.8445682028929392,0.25595028201738995,0.056564007368288476,0.03824222804707123,0.048188421792724985,0.009310517857162418,0.09006113717473972,0.09627872015114203,0.006707726505922168
2,DNN-rdkit-TemperatureScaling,0.8628444384486244,0.6301113787391776,0.07189301090935867,0.8755273322264353,0.4434373925129573,0.06453606190672756,0.030013820777699974,0.054641988363117094,0.008702564941500564,0.026567190989636204,0.19786937361831508,0.006826444104481334
3,DNN-rdkit-SWAG,0.8819148247874544,0.6352226256554413,0.061871022606889405,0.8675928215185801,0.25740115344524384,0.05716694607638755,0.04240613339963716,0.05307724388228767,0.007000055557141732,0.039129672183821865,0.10580073146103429,0.006603946701341305
4,DNN-rdkit-BBP,0.8357691581746277,0.6426146391410068,0.05472153456260761,0.6493547757466634,0.26788369938731194,0.05335401062405285,0.07776357174137359,0.05086327640791291,0.019824321984862697,0.20061311071635138,0.12543379327703447,0.008321271508964743
5,DNN-rdkit-SGLD,0.8744910129999167,0.6349179164817685,0.06662524677813053,0.7428743143876394,0.24881525337696075,0.05716238838343896,0.05058791616227106,0.06248550124458171,0.008455104303078952,0.1572282010802115,0.07144594594420146,0.006772664351649077
6,DNN-rdkit-DeepEnsembles,0.8241374584575324,0.6129944330346392,0.0645852517336607,0.8312060038248698,0.45620300869146985,0.05608699356773298,0.05873155224908083,0.04951593621095706,0.008821266299192871,0.11479753419461325,0.3799485353512776,0.00767065787303786
7,DNN-rdkit-FocalLoss,0.8813176059302331,0.6441690060524387,0.06520080504318078,0.8140004475911459,0.1979531149069468,0.05230841508822188,0.056389929206378135,0.06810218303346438,0.005411695630270152,0.15210825813753176,0.06961617706696503,0.009262914969247775
