,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
0,GIN-none,0.6705850364070027,0.30287459098405517,0.07894016988575459,0.7068100132875972,0.35732034386859995,0.09158991617098604,0.003224670301187254,0.01923352368243377,0.017241045304060492,0.05826309356866091,0.005212249888088677,0.007014561653502281
1,GIN-MCDropout,0.670583124935901,0.3028708966934229,0.07894017071359688,0.7068099884523287,0.3573203422129154,0.09158991590832626,0.0032239420738561313,0.01923627799037134,0.017241045283054104,0.058263079516634404,0.005212257628458372,0.007014561926679077
2,GIN-TemperatureScaling,0.6705843458297908,0.30287326351981037,0.09144183300021623,0.6584960669279099,0.3392747797899776,0.09414877282743954,0.003223916094997466,0.01923216504496652,0.015816075884954105,0.023234340352050912,0.014951589642032873,0.006778512091633445
3,GIN-SWAG,0.6619076669866711,0.2936025445980575,0.06708344030711387,0.6866232073969312,0.3536309339106083,0.08665275788303228,0.010327844605619025,0.01772728220342999,0.0031998178511129546,0.028116636578097827,0.0029167834907943514,0.0025880685270259184
4,GIN-BBP,0.6424551208454917,0.2701535344815429,0.08514568106167847,0.7159827285342747,0.36321373118294603,0.09485512690859943,0.0034254656031105155,0.006240721891026264,0.008353078221281623,0.01890276682041167,0.003889628017268933,0.003267718416387608
5,GIN-SGLD,0.6189629792219594,0.2400751108345082,0.09665857369287147,0.5977209992706776,0.3816901809639401,0.09945808171020502,0.004806751353770912,0.018325566462096845,0.013543031646414884,0.06673004581380103,0.027513170729731883,0.00558254278830022
6,GIN-DeepEnsembles,0.6828852423249961,0.33348702015564013,0.06341496420403321,0.6581442182262739,0.32680440694093704,0.08397253704432804,,,,,,
7,GIN-FocalLoss,0.6571173037469644,0.28592262576657695,0.10399255891227059,0.5494401198294429,0.33605549318922895,0.09302658741043783,0.0061122383504851555,0.007384262312815012,0.007255484090802476,0.04548357775953992,0.003621068390920353,0.0014206306606359942
