,method,rmse-mean,mae-mean,nll-mean,ce-mean,rmse-std,mae-std,nll-std,ce-std
0,GIN-none,1.5513221752931947,1.2267861176470183,1.0705258610327377,0.01221687850831635,0.06390683129608901,0.06180627083367059,0.15658767077210153,0.007193500891819343
1,GIN-MCDropout,1.5513221974219535,1.2267862152149729,1.0705258015840593,0.01221687850831635,0.06390669621513062,0.06180610141854082,0.15658744376824107,0.007193500891819343
2,GIN-SWAG,1.8390485601104,1.4650291196210323,1.452691871803192,0.01663505537747382,0.2813726339106142,0.21284985539617265,0.29329088717298424,0.008916110056276547
3,GIN-BBP,1.9790811226751936,1.504127985957947,1.4189284373957722,0.004839958861626972,0.09198390786245965,0.028996884571295515,0.2793864562946972,0.0012610734724469745
4,GIN-SGLD,3.3157192134391273,2.7240103963544335,1.6594871343674484,0.04236766270124078,2.119319995090337,1.808568290014905,0.46149310082006173,0.027647928417650337
5,GIN-DeepEnsembles,1.3952494387003214,1.0846224536670648,0.9597639388335885,0.002487321710097928,,,,
