,method,rmse-mean,mae-mean,nll-mean,ce-mean,rmse-std,mae-std,nll-std,ce-std
0,TorchMD-NET-none,0.8772447412778845,0.6687658881598271,0.6817418593425533,0.04088789765331147,0.06384640220943989,0.05169404751082308,0.19468615171917403,0.005912111388722981
1,TorchMD-NET-MCDropout,0.8720035090503103,0.6659567360140015,0.6165948197728759,0.04021483728072525,0.06448821408592761,0.05102262804523146,0.17799763015179257,0.006297418101330043
2,TorchMD-NET-SWAG,0.8569168493420652,0.664219345267698,0.414380673289749,0.03718127203941144,0.05805300810060613,0.04010920284105568,0.1136184916354997,0.00528126143436698
3,TorchMD-NET-BBP,2.4684157993424485,1.925260569381879,1.5282694058933088,0.01913100504830316,0.5232207955275445,0.37475907243442313,0.07526670747621653,0.01728955036293442
4,TorchMD-NET-SGLD,0.9690549073054958,0.7842885679432069,0.5284025501466213,0.01425460952631351,0.05793906778669688,0.043859468862149156,0.02427654482543236,0.0016098474969745975
5,TorchMD-NET-DeepEnsembles,1.0511528647597486,0.8394263694370261,0.9755675285437101,0.0005335619775435731,,,,
