,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
0,GIN-none,0.5666859329360998,0.28932745663346315,0.14425133698622447,0.7117082190969602,0.5142103213124751,0.15061060257619852,0.0031705558923686614,0.003007628981591372,0.0017744198433773445,0.010352355301149101,0.00482542822342663,0.0015251408025339322
1,GIN-MCDropout,0.5666859523252693,0.28932759822248194,0.144251335765772,0.7117081914280282,0.5142103170752118,0.15061060133502488,0.00317056182506521,0.0030075458912841527,0.0017744205212538655,0.010352355306421228,0.004825430445688678,0.0015251410429055498
2,GIN-TemperatureScaling,0.5668786979290328,0.2895441161608802,0.140152807286597,0.6855410373723898,0.533308842683547,0.14755048153666953,0.0027869414112718202,0.0026186496484558158,0.001259448726424861,0.007895100397653287,0.019158500978394243,0.0013873427985677921
3,GIN-SWAG,0.5633152262968425,0.28448520331560256,0.14182753813067514,0.6933827771433716,0.5124959047018586,0.14945305557941532,0.005939242595712204,0.00517463183528034,0.0018490516356713125,0.012832097441288196,0.00519693407328916,0.0013867688002806757
4,GIN-BBP,0.5096345555676741,0.24123546188868428,0.2242622134626889,0.8456183156517686,0.6404975937282452,0.1935022350084458,0.005909332894958408,0.0005595066888138668,0.0006687183640875953,0.009887966054650784,0.012800849821860612,0.0013523568154074433
5,GIN-SGLD,0.48724755816072624,0.2385608372110457,0.31663054844944694,0.5782310162940637,0.8082773838395791,0.2668283871662616,0.005026666863186234,0.0033187185465742334,0.0019406418007991608,0.0046114499531569745,0.024463201991983402,0.004729601958606541
6,GIN-DeepEnsembles,0.5751594278649285,0.2938037602904409,0.13811773438747119,0.6858390463913073,0.4834685868385141,0.14765736729623405,,,,,,
7,GIN-FocalLoss,0.5482724865241942,0.27454594396560433,0.14455345173269674,0.5584684182304502,0.4614863135348089,0.14678606556808202,0.0028052465039207107,0.0016963401677676977,0.0027212669069578066,0.006424861053269333,0.0009483163351030919,0.0006344399370035895
