,method,rmse-mean,mae-mean,nll-mean,ce-mean,rmse-std,mae-std,nll-std,ce-std
0,TorchMD-NET-none,0.032438531374805825,0.017846646189778385,1.4660889786640048,0.04393068135775457,0.0006407662634166385,0.0005585105643541011,2.067642013664895,0.004461013552792349
1,TorchMD-NET-MCDropout,0.032394937102734306,0.017859936335631956,0.263659397069944,0.041888181735928724,0.0006652136638664397,0.0005733463375293134,1.5599694661028387,0.00421202787761856
2,TorchMD-NET-SWAG,0.031922751826895475,0.017738278696457662,-1.1580598401196422,0.040333812603883114,0.000491744408225071,0.0005394693296870929,0.9674532942708276,0.0019493292454828366
3,TorchMD-NET-BBP,0.03317652550057278,0.01762740510780797,4.4554153138237025,0.046919625161532086,0.00022154112473367517,0.0001478233246755185,0.7641486501441482,0.000736438192277094
4,TorchMD-NET-SGLD,0.03540374124722786,0.021725227583441226,-2.9735431302868243,0.009111847954002222,0.0003148875598265903,8.871066533852063e-05,0.009054158281802125,0.0003107785515708659
5,TorchMD-NET-DeepEnsembles,0.03153162801965922,0.017333761623905413,-1.928610647592384,0.04194227154472623,,,,
