,method,rmse-mean,mae-mean,nll-mean,ce-mean,rmse-std,mae-std,nll-std,ce-std
0,DNN-rdkit-none,0.7574628558614819,0.5792811635554433,0.6154449212168344,0.029288583148811637,0.0116331994315105,0.013751315339016029,0.20160411870290185,0.002997914751005306
1,DNN-rdkit-MCDropout,0.7558626046394846,0.5773116666565974,0.9071274431920561,0.03409146200589479,0.010964040409339442,0.013244796168408367,0.3720958758403582,0.005238412762173336
2,DNN-rdkit-SWAG,0.7572115456077158,0.5823163093727454,0.7190551147448206,0.03075122770020741,0.01010320257469413,0.012910340759672139,0.22666952294450832,0.002650606575147084
3,DNN-rdkit-BBP,0.7730384151274753,0.5937795237541666,0.7577933353539382,0.030515565252304002,0.02533565265330761,0.024484374797863175,0.16266617203660416,0.004642022753412156
4,DNN-rdkit-SGLD,0.7467941931373661,0.5742784554395626,0.21520114522684017,0.008980638934241267,0.001807819628754804,0.0015820433439669838,0.009709175800725943,0.000862247677436481
5,DNN-rdkit-DeepEnsembles,0.7172358132646834,0.5490256479533656,0.6164621482810281,0.032176518872158805,,,,
