,method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
0,GROVER-none,0.7633455051295427,0.7664685108947208,0.20829924444357553,0.4388919373353322,0.6934434572855631,0.2513789113215968,0.01159421532127958,0.010752177502681917,0.010042448500301364,0.009719304338793063,0.006954121987698838,0.002994082598742814
1,GROVER-MCDropout,0.76717092679534,0.7718933719692567,0.22206129133701324,0.445380965868632,0.7036720514297485,0.2561454818890719,0.008086329346360813,0.012235255553296355,0.01113513263476143,0.036840471883930914,0.005043019899883047,0.0020148956633577464
2,GROVER-TemperatureScaling,0.7634614269982031,0.7664867009985249,0.19153051575024924,0.4420497218767802,0.682604173819224,0.24614709558385559,0.011699210358376145,0.010919777676451218,0.010881839895967948,0.008444502923979578,0.006663965777732,0.002862542186851424
3,GROVER-SWAG,0.7690836376282385,0.7653047186166159,0.2231679012378057,0.4535740117232005,0.7027008930842081,0.25588032620009127,0.009628146896127381,0.0065385828502188634,0.01309340504961644,0.03562826970158513,0.0036095272433703607,0.0013365385889059034
4,GROVER-BBP,0.7424795687706486,0.7514409094823261,0.1946250945329666,0.48610178629557294,0.7045767307281494,0.2564625783832525,0.00892410183992796,0.015332549915996297,0.013541793950706671,0.04203495027666757,0.003771308951607602,0.0015159544268144795
5,GROVER-SGLD,0.5484843215672637,0.5480716959478202,0.09441627065340678,0.33924512068430585,0.7007056872049967,0.25359655028692696,0.061204166897714324,0.050352912592182324,0.02265566842510558,0.2412097650860315,0.013536555807674475,0.0066667524151257625
6,GROVER-DeepEnsembles,0.7826464962615197,0.7746688251379776,0.2277878224849701,0.44326144456863403,0.6807348132133484,0.24624306550834793,,,,,,
7,GROVER-FocalLoss,0.7221352808207269,0.7290136333358394,0.21246004601319632,0.4846731424331665,0.7358298699061075,0.27096589880743954,0.0343047458813736,0.02998840800347951,0.006597437230182159,0.04461533917159106,0.00480230939549561,0.0020239276000794415
